META_experiment,META_run,META_JobCycleCounter_global,META_CycleStart,META_CycleEnd,SET_CylinderTemperature,SET_HotRunner/Nozzle,SET_InjectionSpeed,SET_UP,SET_MoldTemperature,MEAS_EM77_BarrelTemperatureZone1,MEAS_EM77_BarrelTemperatureZone2,MEAS_EM77_BarrelTemperatureZone3,MEAS_EM77_BarrelTemperatureZone4,MEAS_EM77_BarrelTemperatureZone5,MEAS_EM77_BarrelTemperatureZone6,MEAS_EM77_CushionStroke,MEAS_EM77_CushionVolume,MEAS_EM77_CycleTime,MEAS_EM77_DosingTime,MEAS_EM77_FlowIndex,MEAS_EM77_HoldHydraulicPressureMaximum,MEAS_EM77_HoldSpecificPressureMaximum,MEAS_EM77_HydraulicPressureMaximum,MEAS_EM77_InjectionSpeedAverage,MEAS_EM77_InjectionSpeedMaximum,MEAS_EM77_InjectionTime,MEAS_EM77_PlastificationHydraulicPressureMaximum,MEAS_EM77_PlastificationRotationalSpeedMaximum,MEAS_EM77_PlastificationSpecificPressureMaximum,MEAS_EM77_SpecificPressureMaximum,MEAS_EM77_TransferSpecificPressure,MEAS_EM77_TransferStroke,MEAS_EM77_TransferVolume
4,1,731.0,731,735,230,230,50,13.5,60,71.0,214.0,220.0,226.0,229.0,230.0,9.3341,8.98,41860.0,12720.0,11731.0,927380.0,927.0,1063066.0,50.2,50.0,2000.0,569355.0,203.4,569.0,1063.0,936.0,14.0165,13.49
4,2,732.0,731,735,230,230,50,13.5,60,71.0,213.0,220.0,226.0,230.0,230.0,9.3341,8.98,41860.0,12690.0,11722.0,923253.0,923.0,1063066.0,50.2,50.0,2000.0,573482.0,203.4,573.0,1063.0,936.0,14.0165,13.49
4,3,733.0,731,735,230,230,50,13.5,60,71.0,214.0,220.0,227.0,230.0,230.0,9.2679,8.92,41850.0,12740.0,11718.0,920956.0,921.0,1056195.0,50.2,50.0,2000.0,573482.0,203.4,573.0,1056.0,929.0,14.0165,13.49
4,4,734.0,731,735,230,230,50,13.5,60,71.0,214.0,220.0,227.0,230.0,230.0,9.2679,8.92,41850.0,12800.0,11712.0,918669.0,919.0,1056195.0,50.2,50.0,2000.0,573482.0,203.4,573.0,1056.0,929.0,14.0165,13.49
5,1,744.0,744,748,230,230,75,13.5,60,72.0,215.0,220.0,227.0,231.0,230.0,9.1775,8.83,41220.0,12680.0,11311.0,863201.0,863.0,1116704.0,73.5,75.0,1370.0,573482.0,203.4,573.0,1117.0,873.0,14.019,13.49
5,2,745.0,744,748,230,230,75,13.5,60,72.0,215.0,220.0,227.0,231.0,230.0,9.2225,8.87,41220.0,12650.0,11311.0,864116.0,864.0,1114875.0,73.5,75.1,1370.0,573024.0,203.4,573.0,1115.0,874.0,14.019,13.49
5,3,746.0,744,748,230,230,75,13.5,60,72.0,215.0,220.0,227.0,231.0,230.0,9.1783,8.83,41220.0,12670.0,11311.0,865488.0,865.0,1114875.0,73.6,75.0,1370.0,569812.0,203.4,570.0,1115.0,874.0,14.019,13.49
5,4,747.0,744,748,230,230,75,13.5,60,72.0,215.0,220.0,227.0,231.0,230.0,9.1783,8.83,41230.0,12640.0,11313.0,864116.0,864.0,1113960.0,73.5,75.0,1370.0,573024.0,203.4,573.0,1114.0,874.0,14.019,13.49
6,1,754.0,754,758,230,230,100,13.5,60,73.0,214.0,220.0,227.0,231.0,230.0,9.1268,8.78,40910.0,12730.0,11092.0,828814.0,829.0,1230395.0,95.2,100.1,1060.0,572557.0,203.4,573.0,1230.0,838.0,14.0216,13.49
6,2,755.0,754,758,230,230,100,13.5,60,73.0,215.0,220.0,227.0,230.0,230.0,9.1365,8.79,40900.0,12710.0,11087.0,828814.0,829.0,1229480.0,95.1,100.1,1060.0,569812.0,203.4,570.0,1229.0,838.0,14.0216,13.49
6,3,756.0,754,758,230,230,100,13.5,60,73.0,215.0,220.0,227.0,230.0,230.0,9.1191,8.77,40910.0,12700.0,11085.0,828814.0,829.0,1228097.0,95.2,100.1,1060.0,573482.0,203.4,573.0,1228.0,838.0,14.0216,13.49
6,4,757.0,754,758,230,230,100,13.5,60,73.0,216.0,220.0,227.0,230.0,230.0,9.1191,8.77,40900.0,12640.0,11088.0,829272.0,829.0,1228097.0,95.2,100.1,1060.0,569812.0,203.4,570.0,1228.0,838.0,14.0216,13.49
7,1,768.0,768,772,240,240,50,13.5,60,59.0,223.0,230.0,236.0,241.0,240.0,8.5771,8.25,41840.0,13080.0,11559.0,836153.0,836.0,960841.0,50.5,50.0,2000.0,574854.0,203.4,575.0,961.0,844.0,14.0167,13.49
7,2,769.0,768,772,240,240,50,13.5,60,59.0,223.0,230.0,236.0,241.0,240.0,8.6052,8.28,41840.0,13170.0,11557.0,834324.0,834.0,960384.0,50.5,50.0,2000.0,572557.0,203.4,573.0,960.0,844.0,14.0167,13.49
7,3,770.0,768,772,240,240,50,13.5,60,59.0,224.0,230.0,236.0,241.0,240.0,8.576,8.25,41840.0,13160.0,11555.0,835239.0,835.0,959012.0,50.5,50.0,2000.0,571185.0,203.4,571.0,959.0,842.0,14.0167,13.49
7,4,771.0,768,772,240,240,50,13.5,60,59.0,224.0,230.0,236.0,241.0,240.0,8.5864,8.26,41840.0,13140.0,11556.0,833856.0,834.0,959012.0,50.5,50.0,2000.0,572557.0,203.4,573.0,959.0,842.0,14.0167,13.49
8,1,779.0,779,783,240,240,75,13.5,60,60.0,224.0,230.0,236.0,241.0,240.0,8.5315,8.21,41210.0,13240.0,11215.0,789854.0,790.0,1002099.0,74.0,75.0,1370.0,574397.0,203.4,574.0,1002.0,804.0,14.0194,13.49
8,2,780.0,779,783,240,240,75,13.5,60,60.0,224.0,230.0,236.0,241.0,240.0,8.5412,8.22,41210.0,13200.0,11214.0,791226.0,791.0,1002557.0,73.9,75.0,1370.0,574397.0,203.4,574.0,1003.0,800.0,14.0194,13.49
8,3,781.0,779,783,240,240,75,13.5,60,60.0,225.0,230.0,236.0,241.0,240.0,8.5215,8.2,41210.0,13240.0,11215.0,791226.0,791.0,1003014.0,73.9,75.0,1370.0,574397.0,203.4,574.0,1003.0,800.0,14.0194,13.49
